Case,UseTimeDomainReduction,RepPeriodLengthHours,NumRepPeriods,LDSCapMW,Notes
1,0,0,0,0,
2,1,24,5,0,
3,1,72,5,0,
4,1,120,5,0,
5,1,168,5,0,
6,1,336,5,0,
7,1,24,10,0,
8,1,72,10,0,
9,1,120,10,0,
10,1,168,10,0,
11,1,336,10,0,
12,1,24,15,0,
13,1,72,15,0,
14,1,120,15,0,
15,1,168,15,0,
16,1,336,15,0,
17,1,24,20,0,
18,1,72,20,0,
19,1,120,20,0,
20,1,168,20,0,
21,1,336,20,0,
22,1,24,25,0,
23,1,72,25,0,
24,1,120,25,0,
25,1,168,25,0,
26,1,24,30,0,
27,1,72,30,0,
28,1,120,30,0,
29,1,168,30,0,
30,1,24,35,0,
31,1,72,35,0,
32,1,120,35,0,
33,1,168,35,0,
34,1,24,40,0,
35,1,72,40,0,
36,1,120,40,0,
37,1,168,40,0,
38,1,24,45,0,
39,1,72,45,0,
40,1,120,45,0,
41,1,24,50,0,
42,1,72,50,0,
43,1,120,50,0,
44,1,24,55,0,
45,1,72,55,0,
46,1,120,55,0,
47,1,24,60,0,
48,1,72,60,0,
49,1,120,60,0,
50,1,24,65,0,
51,1,72,65,0,
52,1,24,70,0,
53,1,72,70,0,
54,1,24,75,0,
55,1,72,75,0,
56,0,0,0,100,
57,1,24,5,100,
58,1,72,5,100,
59,1,120,5,100,
60,1,168,5,100,
61,1,336,5,100,
62,1,24,10,100,
63,1,72,10,100,
64,1,120,10,100,
65,1,168,10,100,
66,1,336,10,100,
67,1,24,15,100,
68,1,72,15,100,
69,1,120,15,100,
70,1,168,15,100,
71,1,336,15,100,
72,1,24,20,100,
73,1,72,20,100,
74,1,120,20,100,
75,1,168,20,100,
76,1,336,20,100,
77,1,24,25,100,
78,1,72,25,100,
79,1,120,25,100,
80,1,168,25,100,
81,1,24,30,100,
82,1,72,30,100,
83,1,120,30,100,
84,1,168,30,100,
85,1,24,35,100,
86,1,72,35,100,
87,1,120,35,100,
88,1,168,35,100,
89,1,24,40,100,
90,1,72,40,100,
91,1,120,40,100,
92,1,168,40,100,
93,1,24,45,100,
94,1,72,45,100,
95,1,120,45,100,
96,1,24,50,100,
97,1,72,50,100,
98,1,120,50,100,
99,1,24,55,100,
100,1,72,55,100,
101,1,120,55,100,
102,1,24,60,100,
103,1,72,60,100,
104,1,120,60,100,
105,1,24,65,100,
106,1,72,65,100,
107,1,24,70,100,
108,1,72,70,100,
109,1,24,75,100,
110,1,72,75,100,